# Configuracion:
# Concentracion g/m^3_=_10000.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_ref_Hz_=_135574.8121218803
# 
Resultados:
# tau_s_=_(2.45+/-0.04)e-07
# dphi_rad_=_6.49+/-0.00
# SAR_W/g_=_950.29+/-7.28
# Hc_kA/m_=_14.60+/-0.17
# Mr_A/m_=_614.38+/-4.59
# Suceptibilidad_a_M=0_=_0.0647+/-0.0011

Nombre_archivo	Time_m	Temperatura_(ºC)	Mr_(A/m)	Hc_(kA/m)	Campo_max_(A/m)	Mag_max_(A/m)	f0	mag0	dphi0	SAR_(W/g)	Tau_(s)	N	xi_M_0
135kHz_150dA_100Mss_Ni0cRD010.txt	29/05/2024 15:54:14	21.3	602.81	14.95	57041.50	1308.03	1.355626e+05	1.097012e+01	6.492152e+00	937.34	2.489511e-07	4426	6.273e-02
135kHz_150dA_100Mss_Ni0cRD011.txt	29/05/2024 15:54:14	21.3	603.88	14.88	57041.50	1311.88	1.355626e+05	1.102211e+01	6.492763e+00	944.50	2.497022e-07	4426	6.209e-02
135kHz_150dA_100Mss_Ni0cRD012.txt	29/05/2024 15:54:15	21.3	608.13	14.85	57041.50	1332.09	1.355626e+05	1.112822e+01	6.493338e+00	956.17	2.504063e-07	4426	6.265e-02
135kHz_150dA_100Mss_Ni0cRD013.txt	29/05/2024 15:54:15	21.3	605.94	14.86	57041.50	1323.77	1.355626e+05	1.105867e+01	6.495168e+00	958.34	2.526549e-07	4426	6.304e-02
135kHz_150dA_100Mss_Ni0cRD014.txt	29/05/2024 15:54:16	21.3	608.70	14.81	57041.50	1329.87	1.355626e+05	1.116995e+01	6.492073e+00	954.06	2.488560e-07	4426	6.301e-02
135kHz_150dA_100Mss_Ni0cRD015.txt	29/05/2024 15:54:16	21.3	608.82	14.81	57041.50	1319.84	1.355626e+05	1.106069e+01	6.493919e+00	952.95	2.511202e-07	4426	6.312e-02
135kHz_150dA_100Mss_Ni0cRD016.txt	29/05/2024 15:54:17	21.4	609.28	14.78	57041.50	1321.72	1.355626e+05	1.112409e+01	6.491541e+00	947.76	2.482030e-07	4426	6.317e-02
135kHz_150dA_100Mss_Ni0cRD017.txt	29/05/2024 15:54:17	21.4	612.46	14.79	57041.50	1339.82	1.355626e+05	1.119992e+01	6.492668e+00	959.30	2.495876e-07	4426	6.342e-02
135kHz_150dA_100Mss_Ni0cRD018.txt	29/05/2024 15:54:18	21.4	612.78	14.78	57041.50	1325.61	1.355626e+05	1.114452e+01	6.494305e+00	961.91	2.515960e-07	4426	6.396e-02
135kHz_150dA_100Mss_Ni0cRD019.txt	29/05/2024 15:54:19	21.5	609.79	14.69	57041.50	1322.43	1.355626e+05	1.113803e+01	6.494043e+00	960.17	2.512755e-07	4426	6.414e-02
